"id","name"
"619","Oshkosh Truck Corp"
"620","Outback Steakhouse Inc."
"621","Owens & Minor Inc."
"622","Owens Corning"
"623","Owens-Illinois Inc"
"624","Oxford Health Plans Inc"
"625","Paccar Inc"
"626","PacifiCare Health Systems Inc"
"627","Packaging Corp. of America"
"628","Pactiv Corp"
"629","Pall Corp"
"630","Pantry Inc"
"631","Park Place Entertainment Corp"
"632","Parker Hannifin Corp."
"633","Pathmark Stores Inc."
"634","Paychex Inc"
"635","Payless Shoesource Inc"
"636","Penn Traffic Co."
"637","Pennzoil-Quaker State Company"
"638","Pentair Inc"
"639","Peoples Energy Corp."
"640","PeopleSoft Inc"
"641","Pep Boys Manny, Moe & Jack"
"642","Potomac Electric Power Co."
"643","Pepsi Bottling Group Inc."
"644","PepsiAmericas Inc."
"645","PepsiCo Inc."
"646","Performance Food Group Co."
"647","Perini Corp"
"648","PerkinElmer Inc"
"649","Perot Systems Corp"
"650","Petco Animal Supplies Inc."
"651","Peter Kiewit Sons', Inc."
"652","PETsMART Inc"
"653","Pfizer Inc"
"654","Pacific Gas & Electric Corp."
"655","Pharmacia Corp"
"656","Phar Mor Inc."
"657","Phelps Dodge Corp."
"658","Philip Morris Companies Inc."
"659","Phillips Petroleum Co"
"660","Phillips Van Heusen Corp."
"661","Phoenix Companies Inc"
"662","Pier 1 Imports Inc."
"663","Pilgrim's Pride Corporation"
"664","Pinnacle West Capital Corp"
"665","Pioneer-Standard Electronics Inc."
"666","Pitney Bowes Inc."
"667","Pittston Brinks Group"
"668","Plains All American Pipeline LP"
"669","PNC Financial Services Group Inc."
"670","PNM Resources Inc"
"671","Polaris Industries Inc."
"672","Polo Ralph Lauren Corp"
"673","PolyOne Corp"
"674","Popular Inc"
"675","Potlatch Corp"
"676","PPG Industries Inc"
"677","PPL Corp"
"678","Praxair Inc"
"679","Precision Castparts Corp"
"680","Premcor Inc."
"681","Pride International Inc"
"682","Primedia Inc"
"683","Principal Financial Group Inc."
"684","Procter & Gamble Co."
"685","Pro-Fac Cooperative Inc."
"686","Progress Energy Inc"
"687","Progressive Corporation"
"688","Protective Life Corp"
"689","Provident Financial Group"
"690","Providian Financial Corp."
"691","Prudential Financial Inc."
"692","PSS World Medical Inc"
"693","Public Service Enterprise Group Inc."
"694","Publix Super Markets Inc."
"695","Puget Energy Inc."
"696","Pulte Homes Inc"
"697","Qualcomm Inc"
"698","Quanta Services Inc."
"699","Quantum Corp"
"700","Quest Diagnostics Inc."
"701","Questar Corp"
"702","Quintiles Transnational"
"703","Qwest Communications Intl Inc"
"704","R.J. Reynolds Tobacco Company"
"705","R.R. Donnelley & Sons Company"
"706","Radio Shack Corporation"
"707","Raymond James Financial Inc."
"708","Raytheon Company"
"709","Reader's Digest Association Inc."
"710","Reebok International Ltd."
"711","Regions Financial Corp."
"712","Regis Corporation"
"713","Reliance Steel & Aluminum Co."
"714","Reliant Energy Inc."
"715","Rent A Center Inc"
"716","Republic Services Inc"
"717","Revlon Inc"
"718","RGS Energy Group Inc"
"719","Rite Aid Corp"
"720","Riverwood Holding Inc."
"721","RoadwayCorp"
"722","Robert Half International Inc."
"723","Rock-Tenn Co"
"724","Rockwell Automation Inc"
"725","Rockwell Collins Inc"
"726","Rohm & Haas Co."
"727","Ross Stores Inc"
"728","RPM Inc."
"729","Ruddick Corp"
"730","Ryder System Inc"
"731","Ryerson Tull Inc"
"732","Ryland Group Inc."
"733","Sabre Holdings Corp"
"734","Safeco Corp"
"735","Safeguard Scientifics Inc."
"736","Safeway Inc"
"737","Saks Inc"
"738","Sanmina-SCI Inc"
"739","Sara Lee Corp"
"740","SBC Communications Inc"
"741","Scana Corp."
"742","Schering-Plough Corp"
"743","Scholastic Corp"
"744","SCI Systems Onc."
"745","Science Applications Intl. Inc."
"746","Scientific-Atlanta Inc"
"747","Scotts Company"
"748","Seaboard Corp"
"749","Sealed Air Corp"
"750","Sears Roebuck & Co"
"751","Sempra Energy"
"752","Sequa Corp"
"753","Service Corp. International"
"754","ServiceMaster Co"
"755","Shaw Group Inc"
"756","Sherwin-Williams Company"
"757","Shopko Stores Inc"
"758","Siebel Systems Inc"
"759","Sierra Health Services Inc"
"760","Sierra Pacific Resources"
"761","Silgan Holdings Inc."
"762","Silicon Graphics Inc"
"763","Simon Property Group Inc"
"764","SLM Corporation"
"765","Smith International Inc"
"766","Smithfield Foods Inc"
"767","Smurfit-Stone Container Corp"
"768","Snap-On Inc"
"769","Solectron Corp"
"770","Solutia Inc"
"771","Sonic Automotive Inc."
"772","Sonoco Products Co."
"773","Southern Company"
"774","Southern Union Company"
"775","SouthTrust Corp."
"776","Southwest Airlines Co"
"777","Southwest Gas Corp"
"778","Sovereign Bancorp Inc."
"779","Spartan Stores Inc"
"780","Spherion Corp"
"781","Sports Authority Inc"
"782","Sprint Corp."
"783","SPX Corp"
"784","St. Jude Medical Inc"
"785","St. Paul Cos."
"786","Staff Leasing Inc."
"787","StanCorp Financial Group Inc"
"788","Standard Pacific Corp."
"789","Stanley Works"
"790","Staples Inc"
"791","Starbucks Corp"
"792","Starwood Hotels & Resorts Worldwide Inc"
"793","State Street Corp."
"794","Stater Bros. Holdings Inc."
"795","Steelcase Inc"
"796","Stein Mart Inc"
"797","Stewart & Stevenson Services Inc"
"798","Stewart Information Services Corp"
"799","Stilwell Financial Inc"
"800","Storage Technology Corporation"
"801","Stryker Corp"
"802","Sun Healthcare Group Inc."
"803","Sun Microsystems Inc."
"804","SunGard Data Systems Inc."
"805","Sunoco Inc."
"806","SunTrust Banks Inc"
"807","Supervalu Inc"
"808","Swift Transportation, Co., Inc"
"809","Symbol Technologies Inc"
"810","Synovus Financial Corp."
"811","Sysco Corp"
"812","Systemax Inc."
"813","Target Corp."
"814","Tech Data Corporation"
"815","TECO Energy Inc"
"816","Tecumseh Products Company"
"817","Tektronix Inc"
"818","Teleflex Incorporated"
"819","Telephone & Data Systems Inc"
"820","Tellabs Inc."
"821","Temple-Inland Inc"
"822","Tenet Healthcare Corporation"
"823","Tenneco Automotive Inc."
"824","Teradyne Inc"
"825","Terex Corp"
"826","Tesoro Petroleum Corp."
"827","Texas Industries Inc."
"828","Texas Instruments Incorporated"
"829","Textron Inc"
"830","Thermo Electron Corporation"
"831","Thomas & Betts Corporation"
"832","Tiffany & Co"
"833","Timken Company"
"834","TJX Companies Inc"
"835","TMP Worldwide Inc"
"836","Toll Brothers Inc"
"837","Torchmark Corporation"
"838","Toro Company"
"839","Tower Automotive Inc."
"840","Toys 'R' Us Inc"
"841","Trans World Entertainment Corp."
"842","TransMontaigne Inc"
"843","Transocean Inc"
"844","TravelCenters of America Inc."
"845","Triad Hospitals Inc"
"846","Tribune Company"
"847","Trigon Healthcare Inc."
"848","Trinity Industries Inc"
"849","TruServ Corporation"
"850","TRW Inc"
"851","TXU Corp"
"852","Tyson Foods Inc"
"853","U.S. Bancorp"
"854","U.S. Industries Inc."
"855","UAL Corporation"
"856","UGI Corporation"
"857","Unified Western Grocers Inc"
"858","Union Pacific Corporation"
"859","Union Planters Corp"
"860","Unisource Energy Corp"
"861","Unisys Corporation"
"862","United Auto Group Inc"
"863","United Defense Industries Inc."
"864","United Parcel Service Inc"
"865","United Rentals Inc"
"866","United Stationers Inc"
"867","United Technologies Corporation"
"868","UnitedHealth Group Incorporated"
"869","Unitrin Inc"
"870","Universal Corporation"
"871","Universal Forest Products Inc"
"872","Universal Health Services Inc"
"873","Unocal Corporation"
"874","Unova Inc"
"875","UnumProvident Corporation"
"876","URS Corporation"
"877","US Airways Group Inc"
"878","US Oncology Inc"
"879","USA Interactive"
"880","USFreighways Corporation"
"881","USG Corporation"
"882","UST Inc"
"883","Valero Energy Corporation"
"884","Valspar Corporation"
"885","Value City Department Stores Inc"
"886","Varco International Inc"
"887","Vectren Corporation"
"888","Veritas Software Corporation"
"889","Verizon Communications Inc"
"890","VF Corporation"
"891","Viacom Inc"
"892","Viad Corp"
"893","Viasystems Group Inc"
"894","Vishay Intertechnology Inc"
"895","Visteon Corporation"
"896","Volt Information Sciences Inc"
"897","Vulcan Materials Company"
"898","W.R. Berkley Corporation"
"899","W.R. Grace & Co"
